iaq,tvoc,etoh,iaq_rel,temp,hum,delta30s_iaq,delta30s_tvoc,delta30s_etoh,delta30s_iaq_rel,delta30s_temp,delta30s_hum,target_iaq_1min
1.0001,0.0084,0.0158,57.4686,36.29,61.41,-0.00029999999999996696,-0.00010000000000000113,-9.99999999999994e-05,-1.5619000000000014,0.0,-0.10000000000000142,1.0
1.0001,0.0084,0.0158,57.2692,36.29,61.39,-0.00019999999999997797,-0.00010000000000000113,-9.99999999999994e-05,-1.557300000000005,0.00999999999999801,-0.060000000000002274,1.0
1.0001,0.0084,0.0158,57.1756,36.29,61.33,-0.00019999999999997797,0.0,-9.99999999999994e-05,-1.5349999999999966,0.07000000000000028,-0.5,1.0
1.0001,0.0084,0.0158,57.0063,36.29,61.32,-0.00019999999999997797,0.0,-9.99999999999994e-05,-1.545899999999996,0.04999999999999716,-0.5200000000000031,1.0
1.0001,0.0084,0.0158,56.8255,36.31,61.3,-9.999999999998899e-05,0.0,-9.99999999999994e-05,-1.608000000000004,0.060000000000002274,-0.5200000000000031,1.0
1.0001,0.0084,0.0158,56.6858,36.29,61.26,-9.999999999998899e-05,0.0,-9.99999999999994e-05,-1.5765999999999991,0.04999999999999716,-0.44000000000000483,1.0
1.0001,0.0084,0.0158,56.5092,36.29,61.24,-9.999999999998899e-05,0.0,-9.99999999999994e-05,-1.5929000000000002,0.03999999999999915,-0.39000000000000057,1.0
1.0001,0.0084,0.0158,56.3447,36.31,61.24,-9.999999999998899e-05,0.0,0.0,-1.592099999999995,0.030000000000001137,-0.35999999999999943,1.0
1.0001,0.0084,0.0158,56.2254,36.32,61.22,-9.999999999998899e-05,0.0,0.0,-1.5544000000000011,0.030000000000001137,-0.35999999999999943,1.0
1.0001,0.0084,0.0158,56.0882,36.34,61.14,0.0,0.0,0.0,-1.5,0.05000000000000426,-0.3299999999999983,1.0
1.0,0.0084,0.0158,55.9731,36.34,61.14,-9.999999999998899e-05,0.0,0.0,-1.4954999999999998,0.05000000000000426,-0.269999999999996,1.0
1.0,0.0084,0.0158,55.8699,36.34,61.11,-9.999999999998899e-05,0.0,0.0,-1.3992999999999967,0.05000000000000426,-0.28000000000000114,1.0
1.0,0.0084,0.0158,55.7293,36.35,61.08,-9.999999999998899e-05,0.0,0.0,-1.4463000000000008,0.060000000000002274,-0.25,1.0
1.0,0.0084,0.0158,55.5993,36.35,61.06,-9.999999999998899e-05,0.0,0.0,-1.4070000000000036,0.060000000000002274,-0.259999999999998,1.0
1.0,0.0084,0.0158,55.4609,36.35,61.05,-9.999999999998899e-05,0.0,0.0,-1.3645999999999958,0.03999999999999915,-0.25,1.0
1.0,0.0084,0.0158,55.3388,36.36,61.04,-9.999999999998899e-05,0.0,0.0,-1.3470000000000013,0.07000000000000028,-0.21999999999999886,1.0
1.0,0.0084,0.0158,55.261,36.38,61.02,-9.999999999998899e-05,0.0,0.0,-1.248199999999997,0.09000000000000341,-0.21999999999999886,1.0
1.0,0.0084,0.0158,55.1108,36.36,60.97,-9.999999999998899e-05,0.0,0.0,-1.2339000000000055,0.04999999999999716,-0.2700000000000031,1.0
1.0,0.0084,0.0158,54.9936,36.36,60.99,-9.999999999998899e-05,0.0,0.0,-1.2317999999999998,0.03999999999999915,-0.22999999999999687,1.0
1.0,0.0084,0.0158,54.8712,36.38,60.94,-9.999999999998899e-05,0.0,0.0,-1.2169999999999987,0.03999999999999915,-0.20000000000000284,1.0
1.0,0.0084,0.0158,54.7285,36.39,60.9,0.0,0.0,0.0,-1.2446000000000055,0.04999999999999716,-0.240000000000002,1.0
1.0,0.0084,0.0158,54.5967,36.39,60.92,0.0,0.0,0.0,-1.2732000000000028,0.04999999999999716,-0.18999999999999773,1.0
1.0,0.0084,0.0158,54.4344,36.41,60.94,0.0,0.0,0.0,-1.2949000000000055,0.05999999999999517,-0.14000000000000057,1.0
1.0,0.0084,0.0158,54.3523,36.42,60.95,0.0,0.0,0.0,-1.2469999999999999,0.07000000000000028,-0.10999999999999943,1.0
1.0,0.0084,0.0158,54.1794,36.43,60.91,0.0,0.0,0.0,-1.2815000000000012,0.0799999999999983,-0.14000000000000057,1.0
1.0,0.0084,0.0158,54.0779,36.42,60.84,0.0,0.0,0.0,-1.2608999999999995,0.060000000000002274,-0.19999999999999574,1.0
1.0,0.0084,0.0158,53.9225,36.38,60.81,0.0,0.0,0.0,-1.3385000000000034,0.0,-0.21000000000000085,1.0
1.0,0.0084,0.0158,53.8004,36.38,60.83,0.0,0.0,0.0,-1.3103999999999942,0.020000000000003126,-0.14000000000000057,1.0
1.0,0.0084,0.0158,53.6553,36.36,60.84,0.0,0.0,0.0,-1.3383000000000038,0.0,-0.14999999999999858,1.0
1.0,0.0084,0.0158,53.5573,36.36,60.86,0.0,0.0,0.0,-1.3139000000000038,-0.020000000000003126,-0.0799999999999983,1.0
1.0,0.0084,0.0158,53.4063,36.36,60.86,0.0,0.0,0.0,-1.3221999999999952,-0.030000000000001137,-0.03999999999999915,1.0
1.0,0.0084,0.0158,53.2766,36.39,60.83,0.0,0.0,0.0,-1.3200999999999965,0.0,-0.09000000000000341,1.0
1.0,0.0084,0.0158,53.2312,36.39,60.81,0.0,0.0,0.0,-1.2031999999999954,-0.01999999999999602,-0.12999999999999545,1.0
