# SEGGER J-Link RTT Viewer V9.42 Terminal Log File
# Compiled: 12:32:47 on May  6 2026
# Logging started @ 11 May 2026 08:38:47
00> 1.0000, 54.8712, 0.0158, 0.0084, 400.0000, 36.38, 60.94, 1
00> 1.0000, 54.7285, 0.0158, 0.0084, 400.0000, 36.39, 60.90, 1
00> 1.0000, 54.5967, 0.0158, 0.0084, 400.0000, 36.39, 60.92, 1
00> 1.0000, 54.4344, 0.0158, 0.0084, 400.0000, 36.41, 60.94, 1
00> 1.0000, 54.3523, 0.0158, 0.0084, 400.0000, 36.42, 60.95, 1
00> 1.0000, 54.1794, 0.0158, 0.0084, 400.0000, 36.43, 60.91, 1
00> 1.0000, 54.0779, 0.0158, 0.0084, 400.0000, 36.42, 60.84, 1
00> 1.0000, 53.9225, 0.0158, 0.0084, 400.0000, 36.38, 60.81, 1
00> 1.0000, 53.8004, 0.0158, 0.0084, 400.0000, 36.38, 60.83, 1
00> 1.0000, 53.6553, 0.0158, 0.0084, 400.0000, 36.36, 60.84, 1
00> 1.0000, 53.5573, 0.0158, 0.0084, 400.0000, 36.36, 60.86, 1
00> 1.0000, 53.4063, 0.0158, 0.0084, 400.0000, 36.36, 60.86, 1
00> 1.0000, 53.2766, 0.0158, 0.0084, 400.0000, 36.39, 60.83, 1
00> 1.0000, 53.2312, 0.0158, 0.0084, 400.0000, 36.39, 60.81, 1
00> 1.0000, 53.0781, 0.0158, 0.0084, 400.0000, 36.41, 60.80, 1
00> 1.0000, 52.8769, 0.0158, 0.0084, 400.0000, 36.39, 60.78, 1
00> 1.0000, 52.7661, 0.0158, 0.0084, 400.0000, 36.38, 60.78, 1
00> 1.0000, 52.6470, 0.0158, 0.0084, 400.0000, 36.38, 60.78, 1
00> 1.0000, 52.5606, 0.0158, 0.0084, 400.0000, 36.39, 60.76, 1
00> 1.0000, 52.4599, 0.0158, 0.0084, 400.0000, 36.39, 60.76, 1
00> 1.0000, 52.3683, 0.0158, 0.0084, 400.0000, 36.42, 60.78, 1
00> 1.0000, 52.2397, 0.0158, 0.0084, 400.0000, 36.41, 60.81, 1
00> 1.0000, 52.1069, 0.0158, 0.0084, 400.0000, 36.43, 60.84, 1
00> 1.0000, 52.0526, 0.0158, 0.0084, 400.0000, 36.43, 60.81, 1
00> 1.0000, 51.9937, 0.0158, 0.0084, 400.0000, 36.45, 60.79, 1
00> 1.0000, 51.9291, 0.0158, 0.0084, 400.0000, 36.46, 60.77, 1
00> 1.0000, 51.8166, 0.0158, 0.0084, 400.0000, 36.45, 60.75, 1
00> 1.0000, 51.7427, 0.0158, 0.0084, 400.0000, 36.43, 60.84, 1
00> 1.0000, 51.7214, 0.0158, 0.0084, 400.0000, 36.43, 61.05, 1
00> 1.0000, 51.6570, 0.0158, 0.0084, 400.0000, 36.45, 60.91, 1
00> 1.0000, 51.5452, 0.0158, 0.0084, 400.0000, 36.43, 60.81, 1
00> 1.0000, 51.5000, 0.0158, 0.0084, 400.0000, 36.48, 60.77, 1
00> 1.0000, 51.4830, 0.0158, 0.0084, 400.0000, 36.49, 60.83, 1
00> 1.0000, 51.4352, 0.0158, 0.0084, 400.0000, 36.52, 60.73, 1
00> 1.0000, 51.3685, 0.0158, 0.0084, 400.0000, 36.50, 60.67, 1
00> 1.0000, 51.3619, 0.0158, 0.0084, 400.0000, 36.50, 60.69, 1
00> 1.0000, 51.5341, 0.0158, 0.0084, 400.0000, 36.49, 61.86, 1
00> 1.0000, 51.5612, 0.0158, 0.0084, 400.0000, 36.50, 61.88, 1
00> 1.0000, 51.6525, 0.0158, 0.0084, 400.0000, 36.48, 61.60, 1
00> 1.0000, 51.6419, 0.0158, 0.0084, 400.0000, 36.50, 61.42, 1
00> 1.0000, 51.6208, 0.0158, 0.0084, 400.0000, 36.52, 61.33, 1
00> 1.0000, 51.5570, 0.0158, 0.0084, 400.0000, 36.53, 61.06, 1
00> 1.0000, 51.5974, 0.0158, 0.0084, 400.0000, 36.53, 60.84, 1
00> 1.0000, 51.7473, 0.0158, 0.0084, 400.0000, 36.52, 61.85, 1
00> 1.0000, 51.7484, 0.0158, 0.0084, 400.0000, 36.53, 61.51, 1
00> 1.0000, 51.6989, 0.0158, 0.0084, 400.0000, 36.52, 61.11, 1
00> 1.0000, 51.5358, 0.0158, 0.0084, 400.0000, 36.52, 60.97, 1
00> 1.0000, 51.3778, 0.0158, 0.0084, 400.0000, 36.53, 60.84, 1
00> 1.0000, 51.2003, 0.0158, 0.0084, 400.0000, 36.52, 60.67, 1
00> 1.0000, 51.0552, 0.0158, 0.0084, 400.0000, 36.53, 60.62, 1
00> 1.0000, 50.8931, 0.0158, 0.0084, 400.0000, 36.54, 60.59, 1
00> 1.0000, 50.7226, 0.0158, 0.0084, 400.0000, 36.54, 60.55, 1
00> 1.0000, 50.5702, 0.0158, 0.0084, 400.0000, 36.56, 60.55, 1
00> 1.0000, 50.4391, 0.0158, 0.0084, 400.0000, 36.57, 60.52, 1
00> 1.0000, 50.3153, 0.0158, 0.0084, 400.0000, 36.56, 60.50, 1
00> 1.0000, 50.1798, 0.0158, 0.0084, 400.0000, 36.54, 60.47, 1
00> 1.0000, 50.0888, 0.0158, 0.0084, 400.0000, 36.56, 60.46, 1
00> 1.0000, 50.0146, 0.0158, 0.0084, 400.0000, 36.56, 60.46, 1
00> 1.0000, 49.9088, 0.0158, 0.0084, 400.0000, 36.57, 60.44, 1
00> 1.0000, 49.7831, 0.0158, 0.0084, 400.0000, 36.54, 60.42, 1
00> 1.0000, 49.7040, 0.0158, 0.0084, 400.0000, 36.53, 60.44, 1
00> 1.0000, 49.6173, 0.0158, 0.0084, 400.0000, 36.53, 60.45, 1
00> 1.0000, 49.5616, 0.0158, 0.0084, 400.0000, 36.53, 60.45, 1
00> 1.0000, 49.4796, 0.0158, 0.0084, 400.0000, 36.56, 60.44, 1
00> 1.0000, 49.4069, 0.0158, 0.0084, 400.0000, 36.54, 60.44, 1
00> 1.0000, 49.3538, 0.0158, 0.0084, 400.0000, 36.57, 60.46, 1
00> 1.0000, 49.2551, 0.0158, 0.0084, 400.0000, 36.56, 60.44, 1
00> 1.0000, 49.1430, 0.0158, 0.0084, 400.0000, 36.56, 60.37, 1
00> 1.0000, 49.0207, 0.0158, 0.0084, 400.0000, 36.57, 60.29, 1
00> 1.0000, 48.9404, 0.0158, 0.0084, 400.0000, 36.57, 60.27, 1
00> 1.0000, 48.8038, 0.0158, 0.0084, 400.0000, 36.57, 60.25, 1
00> 1.0000, 48.7042, 0.0158, 0.0084, 400.0000, 36.57, 60.23, 1
00> 1.0000, 48.6410, 0.0158, 0.0084, 400.0000, 36.57, 60.22, 1
00> 1.0000, 48.5582, 0.0158, 0.0084, 400.0000, 36.56, 60.22, 1
00> 1.0000, 48.4722, 0.0158, 0.0084, 400.0000, 36.57, 60.22, 1
00> 1.0000, 48.3612, 0.0158, 0.0084, 400.0000, 36.56, 60.20, 1
00> 1.0000, 48.3032, 0.0158, 0.0084, 400.0000, 36.56, 60.20, 1
00> 1.0000, 48.2537, 0.0158, 0.0084, 400.0000, 36.56, 60.20, 1
00> 1.0000, 48.2149, 0.0158, 0.0084, 400.0000, 36.56, 60.20, 1
00> 1.0000, 48.1687, 0.0158, 0.0084, 400.0000, 36.57, 60.22, 1
00> 1.0000, 48.1421, 0.0158, 0.0084, 400.0000, 36.56, 60.19, 1
00> 1.0000, 48.0805, 0.0158, 0.0084, 400.0000, 36.59, 60.15, 1
00> 1.0000, 48.0822, 0.0158, 0.0084, 400.0000, 36.60, 60.23, 1
00> 1.0000, 48.0772, 0.0158, 0.0084, 400.0000, 36.60, 60.19, 1
00> 1.0000, 48.0427, 0.0158, 0.0084, 400.0000, 36.63, 60.14, 1
00> 1.0000, 48.0066, 0.0158, 0.0084, 400.0000, 36.66, 60.11, 1
00> 1.0000, 47.9752, 0.0158, 0.0084, 400.0000, 36.64, 60.09, 1
00> 1.0000, 47.9296, 0.0158, 0.0084, 400.0000, 36.63, 60.01, 1
00> 1.0000, 47.8758, 0.0158, 0.0084, 400.0000, 36.61, 59.98, 1
00> 1.0000, 47.8578, 0.0158, 0.0084, 400.0000, 36.64, 60.01, 1
00> 1.0000, 47.8504, 0.0158, 0.0084, 400.0000, 36.64, 60.01, 1
00> 1.0000, 47.8916, 0.0158, 0.0084, 400.0000, 36.64, 60.01, 1
00> 1.0000, 47.9037, 0.0158, 0.0084, 400.0000, 36.63, 60.01, 1
00> 1.0000, 47.8957, 0.0158, 0.0084, 400.0000, 36.63, 59.95, 1
00> 1.0000, 47.8651, 0.0158, 0.0084, 400.0000, 36.61, 59.79, 1
00> 1.0000, 47.8371, 0.0158, 0.0084, 400.0000, 36.61, 59.71, 1
00> 1.0000, 47.7777, 0.0158, 0.0084, 400.0000, 36.61, 59.62, 1
00> 1.0000, 47.7207, 0.0158, 0.0084, 400.0000, 36.61, 59.54, 1
00> 1.0000, 47.6599, 0.0158, 0.0084, 400.0000, 36.60, 59.52, 1
00> 1.0000, 47.6307, 0.0158, 0.0084, 400.0000, 36.59, 59.54, 1
00> 1.0000, 47.5919, 0.0158, 0.0084, 400.0000, 36.56, 59.59, 1
00> 1.0000, 47.5841, 0.0158, 0.0084, 400.0000, 36.57, 59.54, 1
00> 1.0000, 47.6012, 0.0158, 0.0084, 400.0000, 36.57, 59.61, 1
00> 1.0000, 47.6379, 0.0158, 0.0084, 400.0000, 36.59, 59.59, 1
00> 1.0000, 47.7139, 0.0158, 0.0084, 400.0000, 36.61, 59.62, 1
00> 1.0000, 47.7917, 0.0158, 0.0084, 400.0000, 36.61, 59.66, 1
00> 1.0000, 47.8728, 0.0158, 0.0084, 400.0000, 36.64, 59.66, 1
00> 1.0000, 47.9396, 0.0158, 0.0084, 400.0000, 36.64, 59.66, 1
00> 1.0000, 48.0529, 0.0158, 0.0084, 400.0000, 36.66, 59.69, 1
